Nederland;2012;18709
Duitsland;2012;3313
België;2012;1493
Verenigd Koninkrijk;2012;2838
Ierland;2012;167
Frankrijk;2012;1026
Italië;2012;863
Spanje;2012;796
Portugal;2012;111
Oostenrijk;2012;152
Denemarken;2012;231
Griekenland;2012;76
Polen;2012;177
Rusland;2012;322
Nederland;2013;19039
Duitsland;2013;3490
België;2013;1592
Verenigd Koninkrijk;2013;2852
Ierland;2013;166
Frankrijk;2013;1072
Italië;2013;886
Spanje;2013;731
Portugal;2013;130
Oostenrijk;2013;164
Denemarken;2013;238
Griekenland;2013;70
Polen;2013;185
Rusland;2013;379
Nederland;2014;19680
Duitsland;2014;3967
België;2014;1773
Verenigd Koninkrijk;2014;3177
Ierland;2014;191
Frankrijk;2014;1166
Italië;2014;982
Spanje;2014;738
Portugal;2014;139
Oostenrijk;2014;183
Denemarken;2014;236
Griekenland;2014;81
Polen;2014;211
Rusland;2014;369
Nederland;2015;19910
Duitsland;2015;4348
België;2015;1908
Verenigd Koninkrijk;2015;3420
Ierland;2015;222
Frankrijk;2015;1198
Italië;2015;1063
Spanje;2015;801
Portugal;2015;149
Oostenrijk;2015;202
Denemarken;2015;248
Griekenland;2015;86
Polen;2015;250
Rusland;2015;277
